time,logger,level,message,exception
2012-06-08 09:39:51.6765,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -    10 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608093951675%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:39:51.6765,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608093951675} AND ( *:* -MessageSent:true)
	Time: 9 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:39:51.8824,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:56.9369,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:01.7145,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:01.7145,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:01.7145,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094001713} AND ( *:* -MessageSent:true),
2012-06-08 09:40:01.7175,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -     2 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094001713%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:01.7175,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094001713} AND ( *:* -MessageSent:true)
	Time: 2 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:02.5782,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:07.6647,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:11.8374,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:40:11.8374,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -    20 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:40:11.8474,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608094011815} AND ( *:* -MessageSent:true),
2012-06-08 09:40:11.8474,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -    30 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608094011815%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:40:11.8474,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608094011815} AND ( *:* -MessageSent:true)
	Time: 29 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:40:12.7672,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:40:17.8646,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
